NAME                                                                          VERSION                                      TYPE      
@colors/colors                                                                1.5.0                                        npm        
@isaacs/cliui                                                                 8.0.2                                        npm        
@isaacs/string-locale-compare                                                 1.1.0                                        npm        
@npmcli/arborist                                                              6.3.0                                        npm        
@npmcli/config                                                                6.2.1                                        npm        
@npmcli/disparity-colors                                                      3.0.0                                        npm        
@npmcli/fs                                                                    3.1.0                                        npm        
@npmcli/git                                                                   4.1.0                                        npm        
@npmcli/installed-package-contents                                            2.0.2                                        npm        
@npmcli/map-workspaces                                                        3.0.4                                        npm        
@npmcli/metavuln-calculator                                                   5.0.1                                        npm        
@npmcli/name-from-folder                                                      2.0.0                                        npm        
@npmcli/node-gyp                                                              3.0.0                                        npm        
@npmcli/package-json                                                          4.0.0                                        npm        
@npmcli/promise-spawn                                                         6.0.2                                        npm        
@npmcli/query                                                                 3.0.0                                        npm        
@npmcli/run-script                                                            6.0.2                                        npm        
@pkgjs/parseargs                                                              0.11.0                                       npm        
@sigstore/protobuf-specs                                                      0.1.0                                        npm        
@sigstore/tuf                                                                 1.0.2                                        npm        
@tootallnate/once                                                             2.0.0                                        npm        
@tufjs/canonical-json                                                         1.0.0                                        npm        
@tufjs/models                                                                 1.0.4                                        npm        
CacheControl                                                                  0.12.12                                      python     
PyGObject                                                                     3.44.1                                       python     
PyJWT                                                                         2.6.0                                        python     
PyYAML                                                                        6.0                                          python     
SecretStorage                                                                 3.3.3                                        python     
Simple Launcher                                                               1.1.0.14                                     dotnet     
abbrev                                                                        1.1.1                                        npm        
abbrev                                                                        2.0.0                                        npm        
abort-controller                                                              3.0.0                                        npm        
adduser                                                                       3.129ubuntu1                                 deb        
adwaita-icon-theme                                                            41.0-1ubuntu1                                deb        
agent-base                                                                    6.0.2                                        npm        
agentkeepalive                                                                4.3.0                                        npm        
aggregate-error                                                               3.1.0                                        npm        
ansi-regex                                                                    5.0.1                                        npm        
ansi-regex                                                                    6.0.1                                        npm        
ansi-styles                                                                   4.3.0                                        npm        
ansi-styles                                                                   6.2.1                                        npm        
apparmor                                                                      3.0.8-1ubuntu2.1                             deb        
aproba                                                                        2.0.0                                        npm        
apt                                                                           2.6.0ubuntu0.1                               deb        
archy                                                                         1.0.0                                        npm        
are-we-there-yet                                                              3.0.1                                        npm        
are-we-there-yet                                                              4.0.0                                        npm        
at-spi2-common                                                                2.48.0-1                                     deb        
attrs                                                                         22.2.0                                       python     
balanced-match                                                                1.0.2                                        npm        
base-files                                                                    12.3ubuntu2                                  deb        
base-passwd                                                                   3.6.1                                        deb        
base64-js                                                                     1.5.1                                        npm        
bash                                                                          5.2.15                                       binary     
bash                                                                          5.2.15-2ubuntu1                              deb        
bin-links                                                                     4.0.1                                        npm        
binary-extensions                                                             2.2.0                                        npm        
binfmt-support                                                                2.2.2-2                                      deb        
binutils                                                                      2.40-2ubuntu4.1                              deb        
binutils-common                                                               2.40-2ubuntu4.1                              deb        
binutils-x86-64-linux-gnu                                                     2.40-2ubuntu4.1                              deb        
blinker                                                                       1.5                                          python     
brace-expansion                                                               1.1.11                                       npm        
brace-expansion                                                               2.0.1                                        npm        
bsdutils                                                                      1:2.38.1-4ubuntu1                            deb        
buffer                                                                        6.0.3                                        npm        
build-essential                                                               12.9ubuntu3                                  deb        
builtins                                                                      5.0.1                                        npm        
bzip2                                                                         1.0.8-5build1                                deb        
ca-certificates                                                               20230311ubuntu0.23.04.1                      deb        
cacache                                                                       17.1.3                                       npm        
cargo                                                                         1.70.0+dfsg0ubuntu1~bpo2-0ubuntu0.23.04.1    deb        
certifi                                                                       2022.9.24                                    python     
chalk                                                                         5.2.0                                        npm        
chardet                                                                       5.1.0                                        python     
chownr                                                                        2.0.0                                        npm        
chromium-browser                                                              1:85.0.4183.83-0ubuntu3                      deb        
ci-info                                                                       3.8.0                                        npm        
cidr-regex                                                                    3.1.1                                        npm        
clean-stack                                                                   2.2.0                                        npm        
cleo                                                                          2.0.1                                        python     
cli-columns                                                                   4.0.0                                        npm        
cli-table3                                                                    0.6.3                                        npm        
clone                                                                         1.0.4                                        npm        
cloud.google.com/go/compute/metadata                                          v0.2.3                                       go-module  
cloud.google.com/go/logging                                                   v1.7.0                                       go-module  
cloud.google.com/go/longrunning                                               v0.5.1                                       go-module  
cmd-shim                                                                      6.0.1                                        npm        
code.cloudfoundry.org/clock                                                   v1.0.0                                       go-module  
color-convert                                                                 2.0.1                                        npm        
color-name                                                                    1.1.4                                        npm        
color-support                                                                 1.1.3                                        npm        
columnify                                                                     1.6.0                                        npm        
common-ancestor-path                                                          1.0.1                                        npm        
composer                                                                      2.5.4-1                                      deb        
concat-map                                                                    0.0.1                                        npm        
console-control-strings                                                       1.1.0                                        npm        
containerd.io                                                                 1.6.28-1                                     deb        
corepack                                                                      0.19.0                                       npm        
coreutils                                                                     9.1-1ubuntu2                                 deb        
cpp                                                                           4:12.2.0-3ubuntu1                            deb        
cpp-12                                                                        12.3.0-1ubuntu1~23.04                        deb        
crashtest                                                                     0.4.1                                        python     
cross-spawn                                                                   7.0.3                                        npm        
cryptography                                                                  38.0.4                                       python     
cssesc                                                                        3.0.0                                        npm        
curl                                                                          7.88.1-8ubuntu2.4                            deb        
dario.cat/mergo                                                               v1.0.0                                       go-module  
dash                                                                          0.5.12-2ubuntu1                              deb        
dbus                                                                          1.14.4-1ubuntu1                              deb        
dbus-bin                                                                      1.14.4-1ubuntu1                              deb        
dbus-daemon                                                                   1.14.4-1ubuntu1                              deb        
dbus-python                                                                   1.3.2                                        python     
dbus-session-bus-common                                                       1.14.4-1ubuntu1                              deb        
dbus-system-bus-common                                                        1.14.4-1ubuntu1                              deb        
dbus-user-session                                                             1.14.4-1ubuntu1                              deb        
dconf-gsettings-backend                                                       0.40.0-4                                     deb        
dconf-service                                                                 0.40.0-4                                     deb        
debconf                                                                       1.5.82                                       deb        
debianutils                                                                   5.7-0.4                                      deb        
debug                                                                         4.3.4                                        npm        
defaults                                                                      1.0.4                                        npm        
delegates                                                                     1.0.0                                        npm        
depd                                                                          2.0.0                                        npm        
diff                                                                          5.1.0                                        npm        
diffutils                                                                     1:3.8-4                                      deb        
dirmngr                                                                       2.2.40-1.1ubuntu1                            deb        
distlib                                                                       0.3.6                                        python     
distro                                                                        1.8.0                                        python     
distro-info-data                                                              0.57ubuntu0.3                                deb        
docker-buildx-plugin                                                          0.12.1-1~ubuntu.23.04~lunar                  deb        
docker-ce                                                                     5:25.0.1-1~ubuntu.23.04~lunar                deb        
docker-ce-cli                                                                 5:25.0.1-1~ubuntu.23.04~lunar                deb        
dpkg                                                                          1.21.21ubuntu1                               deb        
dpkg-dev                                                                      1.21.21ubuntu1                               deb        
dulwich                                                                       0.21.2                                       python     
e2fsprogs                                                                     1.47.0-1ubuntu1                              deb        
eastasianwidth                                                                0.2.0                                        npm        
emoji-regex                                                                   8.0.0                                        npm        
emoji-regex                                                                   9.2.2                                        npm        
encoding                                                                      0.1.13                                       npm        
env-paths                                                                     2.2.1                                        npm        
err-code                                                                      2.0.3                                        npm        
event-target-shim                                                             5.0.1                                        npm        
events                                                                        3.3.0                                        npm        
exponential-backoff                                                           3.1.1                                        npm        
fastest-levenshtein                                                           1.0.16                                       npm        
filelock                                                                      3.9.0                                        python     
findutils                                                                     4.9.0-3ubuntu1                               deb        
fontconfig                                                                    2.14.1-3ubuntu3                              deb        
fontconfig-config                                                             2.14.1-3ubuntu3                              deb        
fonts-liberation                                                              1:1.07.4-11                                  deb        
foreground-child                                                              3.1.1                                        npm        
fs-minipass                                                                   2.1.0                                        npm        
fs-minipass                                                                   3.0.2                                        npm        
fs.realpath                                                                   1.0.0                                        npm        
function-bind                                                                 1.1.1                                        npm        
g++                                                                           4:12.2.0-3ubuntu1                            deb        
g++-12                                                                        12.3.0-1ubuntu1~23.04                        deb        
gauge                                                                         4.0.4                                        npm        
gauge                                                                         5.0.1                                        npm        
gcc                                                                           4:12.2.0-3ubuntu1                            deb        
gcc-12                                                                        12.3.0-1ubuntu1~23.04                        deb        
gcc-12-base                                                                   12.3.0-1ubuntu1~23.04                        deb        
gcc-13-base                                                                   13.1.0-2ubuntu2~23.04                        deb        
gconf-service                                                                 3.2.6-8ubuntu1                               deb        
gconf-service-backend                                                         3.2.6-8ubuntu1                               deb        
gconf2-common                                                                 3.2.6-8ubuntu1                               deb        
gir1.2-glib-2.0                                                               1.76.1-1                                     deb        
gir1.2-packagekitglib-1.0                                                     1.2.6-3                                      deb        
git                                                                           1:2.39.2-1ubuntu1.1                          deb        
git-man                                                                       1:2.39.2-1ubuntu1.1                          deb        
github.com/Graylog2/go-gelf                                                   v0.0.0-20191017102106-1550ee647df0           go-module  
github.com/Masterminds/semver/v3                                              v3.2.1                                       go-module  
github.com/Microsoft/hcsshim                                                  v0.11.4                                      go-module  
github.com/Microsoft/hcsshim                                                  v0.9.10                                      go-module  
github.com/RackSec/srslog                                                     v0.0.0-20180709174129-a4725f04ec91           go-module  
github.com/agext/levenshtein                                                  v1.2.3                                       go-module  
github.com/anchore/go-struct-converter                                        v0.0.0-20221118182256-c68fdcfa2092           go-module  
github.com/apparentlymart/go-cidr                                             v1.0.1                                       go-module  
github.com/apparentlymart/go-textseg/v15                                      v15.0.0                                      go-module  
github.com/armon/circbuf                                                      v0.0.0-20190214190532-5111143e8da2           go-module  
github.com/armon/go-metrics                                                   v0.4.1                                       go-module  
github.com/aws/aws-sdk-go-v2                                                  v1.17.6                                      go-module  
github.com/aws/aws-sdk-go-v2/config                                           v1.18.16                                     go-module  
github.com/aws/aws-sdk-go-v2/credentials                                      v1.13.16                                     go-module  
github.com/aws/aws-sdk-go-v2/feature/ec2/imds                                 v1.12.24                                     go-module  
github.com/aws/aws-sdk-go-v2/internal/configsources                           v1.1.30                                      go-module  
github.com/aws/aws-sdk-go-v2/internal/endpoints/v2                            v2.4.24                                      go-module  
github.com/aws/aws-sdk-go-v2/internal/ini                                     v1.3.31                                      go-module  
github.com/aws/aws-sdk-go-v2/service/cloudwatchlogs                           v1.15.17                                     go-module  
github.com/aws/aws-sdk-go-v2/service/internal/presigned-url                   v1.9.24                                      go-module  
github.com/aws/aws-sdk-go-v2/service/sso                                      v1.12.5                                      go-module  
github.com/aws/aws-sdk-go-v2/service/ssooidc                                  v1.14.5                                      go-module  
github.com/aws/aws-sdk-go-v2/service/sts                                      v1.18.6                                      go-module  
github.com/aws/smithy-go                                                      v1.13.5                                      go-module  
github.com/beorn7/perks                                                       v1.0.1                                       go-module  
github.com/blang/semver                                                       v3.5.1+incompatible                          go-module  
github.com/canonical/go-efilib                                                v0.3.1-0.20220815143333-7e5151412e93         go-module  
github.com/canonical/go-sp800.108-kdf                                         v0.0.0-20210314145419-a3359f2d21b9           go-module  
github.com/canonical/go-sp800.90a-drbg                                        v0.0.0-20210314144037-6eeb1040d6c3           go-module  
github.com/canonical/go-tpm2                                                  v0.0.0-20210827151749-f80ff5afff61           go-module  
github.com/canonical/tcglog-parser                                            v0.0.0-20210824131805-69fa1e9f0ad2           go-module  
github.com/cenkalti/backoff/v4                                                v4.1.2                                       go-module  
github.com/cenkalti/backoff/v4                                                v4.2.0                                       go-module  
github.com/cenkalti/backoff/v4                                                v4.2.1                                       go-module  
github.com/cespare/xxhash/v2                                                  v2.2.0                                       go-module  
github.com/checkpoint-restore/go-criu/v5                                      v5.3.0                                       go-module  
github.com/cilium/ebpf                                                        v0.11.0                                      go-module  
github.com/cilium/ebpf                                                        v0.7.0                                       go-module  
github.com/cloudflare/cfssl                                                   v1.6.4                                       go-module  
github.com/compose-spec/compose-go                                            v1.20.0                                      go-module  
github.com/container-storage-interface/spec                                   v1.5.0                                       go-module  
github.com/containerd/aufs                                                    v1.0.0                                       go-module  
github.com/containerd/btrfs                                                   v1.0.0                                       go-module  
github.com/containerd/cgroups                                                 v1.0.4                                       go-module  
